Year,Avg_Temp(Farenheit)
1768,42.03095
1769,50.8037
1774,34.8854
1775,49.09850000000001
1776,46.598
1777,46.948550000000004
1778,41.6516
1779,30.7154
1781,43.255849999999995
1782,45.69157142857143
1796,54.01579999999999
1797,43.44230000000001
1811,46.47812
1812,44.622800000000005
1813,49.854000000000006
1814,38.8118
1815,45.5024
1816,39.913925
1817,45.01385000000001
1818,43.29446
1819,27.005599999999998
1820,45.614900000000006
1821,46.40735000000001
1822,47.09630000000001
1823,46.2398
1824,47.30405
1825,48.1397
1826,47.44219999999999
1827,48.3836
1828,47.9273
1829,47.10065
1830,48.58715
1831,45.897349999999996
1832,46.84535
1833,47.86145
1834,47.89325
1835,45.57065
1836,45.61505
1837,46.37194999999999
1838,45.58759999999999
1839,47.3399
1840,46.8527
1841,46.66865000000001
1842,47.044999999999995
1843,46.010600000000004
1844,46.5491
1845,47.13604999999999
1846,48.44540000000001
1847,46.23274999999999
1848,46.430299999999995
1849,46.6325
1850,46.847
1851,47.58350000000001
1852,46.729549999999996
1853,47.22785
1854,47.87825
1855,47.22694999999999
1856,46.29784999999999
1857,46.6526
1858,47.1431
1859,46.430299999999995
1860,47.44565
1861,47.570899999999995
1862,46.785199999999996
1863,47.20325
1864,47.085950000000004
1865,47.2922
1866,47.0018
1867,47.3162
1868,46.77334999999999
1869,46.960249999999995
1870,47.893100000000004
1871,47.67215000000001
1872,46.40135
1873,46.51355
1874,47.7824
1875,46.129400000000004
1876,46.5782
1877,47.653850000000006
1878,48.23089999999999
1879,47.62985
1880,46.598600000000005
1881,47.5583
1882,47.065850000000005
1883,46.29605
1884,46.324400000000004
1885,46.68515
1886,46.72730000000001
1887,46.658449999999995
1888,46.71110000000001
1889,47.83655000000001
1890,47.4065
1891,46.97015000000001
1892,46.72039999999999
1893,46.7078
1894,47.24015
1895,46.1252
1896,47.270450000000004
1897,47.25169999999999
1898,47.17025
1899,46.70029999999999
1900,48.23884999999999
1901,47.290850000000006
1902,47.2172
1903,46.35905
1904,46.7612
1905,47.124199999999995
1906,47.40815
1907,47.10920000000001
1908,47.76005
1909,46.799299999999995
1910,47.76425
1911,47.72825
1912,46.65365
1913,47.3939
1914,47.9777
1915,47.566849999999995
1916,46.72415
1917,45.8051
1918,47.302249999999994
1919,47.3684
1920,46.7321
1921,49.2722
1922,47.7827
1923,47.7686
1924,46.4942
1925,48.22955000000001
1926,48.452450000000006
1927,47.69480000000001
1928,47.9768
1929,47.191100000000006
1930,47.727799999999995
1931,49.20934999999999
1932,47.371100000000006
1933,48.255050000000004
1934,49.68785
1935,47.7365
1936,48.06005000000001
1937,47.71535
1938,49.04930000000001
1939,48.7535
1940,48.3749
1941,48.67895000000001
1942,48.05480000000001
1943,48.20629999999999
1944,48.01669999999999
1945,47.60825
1946,48.52325000000001
1947,47.90495000000001
1948,47.267
1949,47.99855
1950,47.581550000000014
1951,47.149849999999994
1952,48.162949999999995
1953,49.15475
1954,48.93905
1955,47.33089999999999
1956,47.65985
1957,48.427400000000006
1958,48.146300000000004
1959,47.885600000000004
1960,47.64605000000001
1961,47.5556
1962,48.121700000000004
1963,48.344
1964,47.285
1965,47.565799999999996
1966,47.2694
1967,48.023599999999995
1968,47.39585
1969,47.7875
1970,47.6114
1971,47.19649999999999
1972,47.17055000000001
1973,48.0824
1974,47.86865
1975,47.1758
1976,47.572250000000004
1977,48.685700000000004
1978,47.75254999999999
1979,47.428850000000004
1980,48.44389999999999
1981,49.49869999999999
1982,47.371100000000006
1983,48.04220000000001
1984,47.860099999999996
1985,47.4566
1986,49.2071
1987,49.33070000000001
1988,48.69559999999999
1989,47.97155
1990,49.13884999999999
1991,49.08859999999999
1992,48.30140000000001
1993,47.96105000000001
1994,48.6866
1995,48.79579999999999
1996,47.7578
1997,48.51125
1998,50.254099999999994
1999,49.22059999999999
2000,49.36955000000001
2001,49.61405
2002,49.66909999999999
2003,49.55914999999999
2004,49.401500000000006
2005,49.8068
2006,49.954100000000004
2007,49.70750000000001
2008,48.112550000000006
2009,48.44674999999999
2010,49.11005
2011,49.18985
2012,50.469950000000004
2013,52.3348
