Year ,Avg. Year Temp. °F,Avg. January Temp. °F,Avg. July Temp. °F
1953,49.2,29.6,71.2
1954,48.9,25.4,71.9
1955,47.3,25.9,71.3
1956,47.7,25.0,70.2
1957,48.4,24.4,71.2
1958,48.1,27.0,70.0
1959,47.9,24.3,70.0
1960,47.6,25.2,70.8
1961,47.6,26.3,70.1
1962,48.1,23.3,69.7
1963,48.3,22.1,70.5
1964,47.3,26.2,71.4
1965,47.6,26.3,69.6
1966,47.3,21.6,71.8
1967,48.0,27.9,69.7
1968,47.4,24.6,70.5
1969,47.8,23.9,70.9
1970,47.6,21.8,70.8
1971,47.2,22.7,69.6
1972,47.2,24.3,69.9
1973,48.1,23.8,70.2
1974,47.9,25.6,71.1
1975,47.2,26.2,70.8
1976,47.6,25.0,70.2
1977,48.7,21.9,71.7
1978,47.8,23.6,71.1
1979,47.4,20.1,70.6
1980,48.4,25.7,72.6
1981,49.5,30.2,70.8
1982,47.4,21.6,70.5
1983,48.0,27.3,71.2
1984,47.9,24.4,70.3
1985,47.5,24.8,71.2
1986,49.2,29.7,70.8
1987,49.3,27.5,70.7
1988,48.7,24.3,72.0
1989,48.0,26.4,71.6
1990,49.1,30.0,70.9
1991,49.1,25.1,70.9
1992,48.3,28.9,69.1
1993,48.0,25.7,70.3
1994,48.7,25.3,71.0
1995,48.8,28.1,70.9
1996,47.8,24.2,70.9
1997,48.5,24.8,70.9
1998,50.3,29.0,72.7
1999,49.2,27.4,71.5
2000,49.4,27.8,70.9
2001,49.6,28.3,71.4
2002,49.7,29.9,72.8
2003,49.6,28.7,72.5
2004,49.4,25.1,71.0
2005,49.8,28.6,72.5
2006,50.0,31.5,73.2
2007,49.7,26.7,72.2
2008,48.1,25.0,71.0
2009,48.4,25.6,70.6
2010,49.1,25.5,71.7
2011,49.2,25.7,72.9
2012,50.5,27.9,73.4
2013,52.3,28.1,71.7
